Name_of_the_video;ind;MG;TMG;MGA;TMGA;DG;MSGO;MAGO;MSGC;MAGC;Thd1;Mhd1;TMhd1;Dhd1;MSDhd1;MADhd1;MSEhd1;MAEhd1;Thd2;Mhd2;TMhd2;Dhd2;MSDhd2;MADhd2;MSEhd2;MAEhd2;MHA;TMHA;PCD;tweezer;SPD0;HA0;T0;Tmax_gape;T0_hd1_when_manually_extracted_from_csv_file;Tend_hd1;T0_hd2_when_manually_extracted_from_csv_file;Tend_hd2
ind_geant_5_pince_2_vdt_ok_cropped;A5;0.9835835;0.03;57.22361;0.029;0.111;67.90056; 10470.56;-36.19086;4966.649;0.005;0.5805003;0.043;0.338;39.84758;4820.754;-9.883597;2973.03;0.001;0.7000154;0.045;0.372;41.95462;5640.077; -11.35489;2434.203;149.7389;0.363; 0.373;yes;0;124.832064862698;0.038;0.068;;0.381;;0.411
ind_geant_5_pince_4_vdt_ok_cropped;A5;1.366124;0.037;62.84207;0.038;0.1; 90.62144; 13696.1;-55.17066;5170.027;0.013; 0.7284049; 0.046;0.22;51.59017;6541.481; -15.93009;1982.674;0.008;0.9678051;0.047; 0.422; 49.01478;5744.631;-14.39672;2416.76;148.7816;0.018; 0.43;yes;0;137.875368503648;0.059;0.096;; 0.292;;0.489
ind_geant_5_pince_5_vdt_ok_cropped;A5;1.354856;0.041; 61.52886;0.041;0.092;71.94016; 8170.009;-40.84229;6624.008;0.013;0.5216632;0.038;0.357;44.95246; 8511.921;-10.37688;2199.994;0.004;0.9249309;0.05;0.186;52.32867;7300.993;-16.53843;1397.09;143.9419;0.039;0.37;yes;0;132.298425799851;0.034;0.075;;0.404;0.038;0.224
ind_geant_5_pince_6_vdt_ok_cropped;A5; 1.257714;0.036;65.43757;0.036;0.073;76.21932;14412.49;-51.64515;4565.028;0.013;0.6153883;0.045;0.469;40.65025;8049.005; -14.46763;1600.765;0.005;0.9632563; 0.045;0.428;50.4955;7204.351;-15.26776;3017.375;145.3794;0.017;0.482;yes;0;137.000355208027;0.029;0.065;; 0.511;0.034;0.462
ind_geant_5_pince_7_vdt_ok_cropped;A5;0.4264931;0.024; 21.60254;0.023;0.085; 29.79483;4618.333;-17.42462;1756.498;0.009; 0.2784995; 0.173;0.396;9.083247; 3145.824;-1.824824;603.2163;0.007;0.2161352;0.157;0.389; 10.63199;1485.239;-3.62236;1680.792;141.4148; 0.029;0.405;yes;0;138.164625006332;0.001;0.025;;0.406;;0.397
ind_geant_5_sans_pince_1_vdt_good_cropped;A5;1.152521;0.036;58.36075;0.037;0.072;56.73025;7907.37;-49.42167;6498.422;0.009;0.54244;0.046;0.231; 36.82048;4734.687;-12.4471;713.3943; 0.002; 0.7677945;0.043;0.272;39.0712;4367.351; -10.07173;903.0052;147.4652;0.039;0.274;no;0;123.958711394379;0.071;0.107;;0.311;;0.345
ind_geant_5_sans_pince_2_vdt_bof_cropped;A5; 0.5574845;0.029;38.55891;0.029;0.053;44.72721;14108.26;-38.94339;7661.883;0.016;0.4603176;0.064;0.339;20.90099; 3232.487;-5.257608;1180.581;0.006;0.6669268;0.066;0.302;27.94603;4380.517;-10.53607;1858.731;127.8432; 0.344;0.355;no;0;124.52578491438;0.001;0.03;;0.356;;0.309
ind_geant_5_sans_pince_3_vdt_bof_cropped;A5;0.862216;0.029;50.65796;0.029;0.05;50.50356;6093.658;-81.45413;12786.84;0.006;0.6138306;0.034; 0.383;42.41875;3548.795; -9.08026;1401.284;0.002;0.7796099; 0.039;0.325;53.45377;7604.269;-14.29589;2536.177; 142.5852;0.028;0.389;no;0;128.49217748618;0.079;0.108;;0.468;;0.406
ind_geant_5_sans_pince_4_vdt_good_cropped;A5;0.6763243;0.02;37.59382;0.019;0.039; 53.51726;6565.719;-66.14119;18986.67;0.005;0.4471781; 0.028;0.276;37.30384;4612.825; -9.660445;2921.326;0.002; 0.4183267;0.035;0.259; 31.30447;5911.34;-11.93707;2041.747;142.1942; 0.024;0.281;no;0;131.843865160083;0.008;0.028;;0.289;;0.269
pink2_pince_1_vdt_bof_cropped;A2;0.9547828; 0.032;59.56256; 0.031;0.094;65.03773;9124.4;-28.11179;2263.618;0.008;0.4489045; 0.042;0.375; 45.77566;8036.007; -11.6005;1835.842; 0.001;0.7521184;0.038;0.316;50.40392; 6754.832; -16.63785;2225.739;154.7881;0.024;0.383;yes;0;140.293595718818;0.012;0.044;;0.395;;0.329
