Name_of_the_video;ind;MG;TMG;MGA;TMGA;DG;MSGO;MAGO;MSGC;MAGC;prey_capture_type;MTgP;TMTgP;TgD;MSTgP; MATgP;MSTgR;MATgR;Thd1;Mhd1;TMhd1;Dhd1;MSDhd1;MADhd1;MSEhd1;MAEhd1;Thd2;Mhd2;TMhd2;Dhd2;MSDhd2;MADhd2;MSEhd2;MAEhd2;MHA;TMHA;PCD;tweezer;SPD0;HA0;T0;Tmax_gape;Tend_gape;T0_tongue;P0_tongue;Tmax_tongue;Tend_tongue;T0_hd1;Tmax_hd1;Tend_hd1;T0_hd2;Tmax_hd2;Tend_hd2
A_tigrinum_ind3_pince_seq3_criquet_cropped;T5; 1.306197;0.083;52.54146;0.081; 0.164;33.47277; 1630.23;-25.41586; 961.8409;jaws;0.4587037;0.064;0.112; 15.19575;595.5236;-21.75831;1110.818;0.064;0.3728184;0.111;0.355; 8.614669;422.7139;-5.086162;256.0083;0.064; 0.4869028;0.117;2.356;11.32826;430.0047;-5.249998; 271.1215;127.5299;0.061;2.42;yes;0.11;114.129476508196;0.018;0.101;0.182;0.025;1.06571;0.082; 0.137; 0.082;0.129;0.437;0.082;0.135;2.438
A_tigrinum_ind3_pince_seq4_criquet_cropped;T5; 1.602802;0.075; 67.65649;0.076; 0.158; 39.24643;33680.7; -33.06915;1031.223;jaws; 0.4924916; 0.047;0.111; 13.8968;10734.86; -22.00569;1031.509;0.064;0.1837518;0.787;2.778;9.191264;460.9808;-0.2404898;15.33797;0.047;0.499269;0.129;2.795;10.00261;332.554; -3.089822;70.25815;145.301;0.078; 2.842;yes;0;123.996422345933;0;0.075;0.158;0;1.150886;0.047;0.111;0.064;0.787;2.842;0.047;0.129;2.842
A_tigrinum_ind3_pince_seq6_criquet_cropped;T5;1.625548;0.122;65.03479;0.119; 0.194;35.35039;1455.597;-40.32035;1789.059;tg;0.678972;0.087;0.147;19.51751;995.7281; -24.52342;879.804;0.087;0.4032297;0.502;0.515; 5.905217; 296.2287; -0.7791096; 52.8267;0.092; 0.5352665;0.184; 0.652;11.09827;305.8782;-1.836052;101.9435; 152.9198;0.114;0.744;yes;0.2;117.534216382881;0;0.122;0.194;0.018;0.8028517;0.087; 0.165;0.087;0.502;0.602;0.092;0.184; 0.744
A_tigrinum_ind3_pince_seq7_criquet_cropped;T5; 1.895858; 0.117; 84.89266;0.124;0.178; 52.96508;16093.53;-61.9548;4273.579;tg;0.803553;0.065;0.105;37.37743;4960.424;-59.25074;4758.013;0.066;0.5000124;0.144; 0.768;16.76722;1063.889;-23.56317;2363.066;0.065;0.7183221; 0.141;0.785;34.98136;2072.092;-21.01684;1842.276;148.5841;0.106;0.85;yes;0.32;110.525655553503;0; 0.117;0.178;0.019;0.873928;0.065; 0.124; 0.066; 0.144;0.834;0.065;0.141;0.85
A_tigrinum_ind3_pince_seq8_criquet_cropped;T5; 1.715525;0.103;68.03504; 0.106; 0.17; 35.63502;15329.2;-40.65604;1683.931;tg;1.763642;0.052;0.115; 105.2241;77523.51;-27.14214; 1577.436;0.08;0.1601356; 0.473;2.293;7.054535; 447.3329;-1.229395;66.65944;0.066; 0.5369818;0.178;2.307;14.94189; 546.4525;-3.32451;72.77843;151.6643;0.094; 2.373;yes;0.67;122.808863707053;0; 0.103;0.17;0.014;0.2032067;0.052;0.129;0.08;0.473;2.373; 0.066;0.178;2.373
A_tigrinum_ind3_pince_seq9_criquet_cropped;T5; 2.064834; 0.13;88.02878;0.137;0.32; 39.5504; 15012.56;-38.99409;1264.088;jaws;1.719059;0.081;0.135;75.88879;39578.15;-30.65141;1801.091;0.081;0.5067561;0.154; 2.329;12.79129; 259.9463; -8.115584; 270.1804;0.088;0.8279352;0.162;2.276; 23.0571; 782.2821;-4.749101;158.4712;149.2778;0.115;2.41;yes;0.90;116.220903772824;0;0.13; 0.32;0.012; 0.2464687; 0.081;0.147;0.081; 0.154;2.41; 0.088;0.162;2.364
A_tigrinum_ind3_pince_seq10_criquet_cropped;T5;1.783799; 0.125; 76.04135;0.129;0.204;53.76327;3564.126;-43.39985;2030.118;tg;0.9054824; 0.074; 0.148;31.19398; 1843.554; -32.92013;2127.667;0.074;0.5191405; 0.227;1.503;14.59739;1030.96;-3.336934; 179.3258; 0.074;0.6853832; 0.165;1.503;16.42785;647.9566;-4.676122;322.7509; 150.4657;0.116;1.577;yes;0.67;123.708288394152;0.024;0.149;0.228;0.036; 0.9650119;0.098; 0.184;0.098;0.251;1.601; 0.098; 0.189; 1.601
A_tigrinum_ind3_sans_pince_seq1_criquet_cropped;T5;1.643052; 0.107;66.98148;0.105;0.183;55.10715; 4029.438;-54.49866;3268.59;tg; 0.8503506; 0.054; 0.115;32.38616; 3050.06;-38.30523; 2195.31;0.067;0.5531523;0.116;0.775; 18.17922;939.5167; -12.08583;1100.551;0.068;0.5373711;0.125; 1.037;19.78247;1141.671;-10.8801;492.1532; 141.9675;0.091;1.105;no;0.18;118.713768961809;0.006;0.113;0.189;0.014;0.9501346;0.06;0.129;0.073;0.122; 0.848;0.074;0.131; 1.111
A_tigrinum_ind3_sans_pince_seq2_criquet_cropped;T5;1.618793;0.107;76.86992;0.104;0.168; 49.7837; 3718.627;-49.66977;2847.687;tg;0.6849669;0.065;0.091;28.23581;3997.728;-52.47048;4139.449;0.071;0.4847199;0.115;1.011;21.14045;1138.2;-13.01962; 1225.993;0.065;0.6233396;0.125;1.017;21.16703;1009.225;-14.26844; 1177.046;142.5691;0.089; 1.082;no;0.37;113.294099745808; 0.01; 0.117;0.178;0.026;0.9701692;0.075;0.117;0.081;0.125;1.092;0.075;0.135;1.092
A_tigrinum_ind3_sans_pince_seq3_criquet_cropped;T5; 1.5293;0.103;67.85442;0.102;0.232;49.83746; 6713.574; -23.91205; 907.8023;tg;0.5051976; 0.06;0.097;18.98339;1363.355; -40.05597;2114.723;0.072;0.5847941;0.13;1.021;16.40283;818.804; -2.097883; 155.6551;0.06;0.3091743;0.125;1.368;12.08799;491.3368; -4.564646;590.9789;134.4618;0.081;1.428;no;0.29;112.008783047395;0; 0.103; 0.232;0.014; 1.071307;0.06;0.111;0.072; 0.13; 1.093;0.06;0.125; 1.428
A_tigrinum_ind3_sans_pince_seq4_criquet_cropped;T5;1.901014; 0.122;70.93832;0.119;0.176;60.21369;6308.803; -61.89979;4843.435;tg;0.7740041;0.07;0.12;38.64598;4808.623; -53.90476;5650.185;0.078;0.6317847; 0.127;0.6;29.82951;3031.687;-13.80573;1303.984; 0.07; 0.8422341; 0.132; 0.608;38.1658; 3261.184;-14.54113;855.7591;142.1913;0.098;0.678;no;0.67;122.835886226525; 0.018;0.14;0.194;0.028;1.323698;0.088;0.148;0.096;0.145;0.696;0.088;0.15;0.696
