Name_of_the_video;ind;MG;TMG;MGA;TMGA;DG;MSGO;MAGO;MSGC;MAGC;prey_capture_type;MTgP;TMTgP;TgD;MSTgP; MATgP;MSTgR;MATgR;Thd1;Mhd1;TMhd1;Dhd1;MSDhd1;MADhd1;MSEhd1;MAEhd1;Thd2;Mhd2;TMhd2;Dhd2;MSDhd2;MADhd2;MSEhd2;MAEhd2;MHA;TMHA;PCD;tweezer;SPD0;HA0;T0;Tmax_gape;Tend_gape;T0_tongue;P0_tongue;Tmax_tongue;Tend_tongue;T0_hd1;Tmax_hd1;Tend_hd1;T0_hd2;Tmax_hd2;Tend_hd2
A_mavortium_ind3_pince_seq6_criquet_cropped;T2;1.771766;0.097;76.35823;0.1;0.167;48.39509;21120.72; -45.88673;2249.433;tg;1.074425;0.057;0.105;32.97061; 6101.096;-44.06883;2766.614;0.073; 0.4540157;0.23;1.106;10.24953;674.7708;-3.286053;136.3984;0.078;0.6821274;0.129;1.529;17.61666; 1344.743;-3.524911; 185.0846;135.4759;0.098;1.607;yes;0.54;103.325220248217;0; 0.097;0.167;0;0.8629661;0.057;0.105;0.073;0.23; 1.179; 0.078; 0.129;1.607
A_mavortium_ind3_pince_seq7b_criquet_cropped;T2;1.793211;0.11; 69.27973;0.104;0.225; 41.5791; 2251.815;-28.92839;688.0221;tg;0.8045843;0.067;0.117;23.38178;1138.416;-28.57276;796.6683;0.084;0.4331325;0.236; 1.683; 13.52149; 627.8641; -0.9189581;33.61401;0.087;0.3854033;0.15;1.813;17.24328; 726.7821;-2.651737;163.2365;137.6521;0.099;1.9;yes;0.16;112.906641922678;0.014;0.124; 0.239;0.019; 1.101975;0.081;0.136;0.098;0.25;1.781;0.101;0.164;1.914
A_mavortium_ind3_pince_seq9_criquet_cropped;T2;1.711266;0.107;67.13271;0.106; 0.218;57.33371;5260.841;-31.17227;779.7407;jaws;0.5100692;0.066; 0.068;31.20744;20150.95; -50.23411;12162.41;0.066; 0.4164832;0.141; 0.978; 20.94751;859.2202; -2.92526;530.83; 0.081; 0.5336258;0.13;0.963;23.84141;1547.192;-4.142167;297.7648;138.2552;0.091;1.044;yes;0.75;121.601778067964;0.004; 0.111;0.222;0.034;1.204968;0.07;0.102; 0.07;0.145;1.048; 0.085;0.134;1.048
A_mavortium_ind3_sans_pince_seq1_criquet_cropped;T2; 1.856531;0.119;72.81154;0.116; 0.229; 47.23815;2529.385; -28.97747;1444.271;tg;0.8384628; 0.077;0.117;30.70952;1811.538;-48.48987;5393.316;0.079;0.3360503; 0.144;1.338;9.234726;525.2983;-7.47256;589.1415; 0.084;0.422458;0.149;1.333;15.06216; 861.1622;-8.282051;400.5481;142.6079;0.102; 1.417;no;0.91;117.07650050696;0.039;0.158;0.268;0.049;1.08749;0.116;0.166;0.118;0.183;1.456;0.123;0.188;1.456
A_mavortium_ind3_sans_pince_seq2_criquet_cropped;T2;1.888653;0.141; 80.01887;0.137;0.255;48.84719;3528.645;-36.86544;1446.028;tg;0.8271598;0.077;0.141;24.43841;1222.473;-41.7765; 2560.997; 0.108;0.207881;0.162; 1.029;13.61194;1330.024;-12.18658;585.2142;0.114;0.3491329;0.165;1.043;14.80408;788.9675;-14.34108;501.0958;145.1306; 0.13;1.157;no;2.41;121.990317814808;0.014; 0.155;0.269;0.022;1.224705;0.091;0.163;0.122;0.176;1.151;0.128; 0.179;1.171
A_mavortium_ind3_sans_pince_seq3_criquet_cropped;T2;1.694438;0.141; 77.64036;0.127;0.267;44.79449;2867.16;-28.43833;702.8444;tg; 0.6367438;0.076;0.126;18.66681;1478.366;-38.63983; 2141.068; 0.104;0.477636;0.165;0.747;12.43809;723.4847;-2.599079;142.3634;0.11;0.5085111;0.154;1.346;16.45787;1530.403;-3.560181;132.9466;134.1982; 0.123;1.456;no;1.09;113.85793377638;0.011;0.152;0.278;0.024;1.255544;0.087;0.15;0.115;0.176; 0.862; 0.121;0.165;1.467
A_mavortium_ind3_sans_pince_seq6_criquet_cropped;T2; 1.3763;0.129; 63.31564;0.129;0.301;44.4741;3444.452;-18.66343;355.0657;jaws;0.7533987;0.071;0.15;20.17382;1366.403; -20.81364;2148.55;0.111; 0.3609354;0.307;1.146;15.40149;603.3807;-0.9741132;48.54309;0.128;0.2416156;0.18;1.129;9.611261;573.783;-3.262854;397.4381;135.4885;0.102;1.257;no;1.51;114.059395426185; 0.011; 0.14;0.312;0.021;0.98038;0.082;0.171;0.122;0.318;1.268;0.139;0.191;1.268
A_mavortium_ind3_sans_pince_seq9_criquet_cropped;T2; 1.567715; 0.114;68.50515;0.113;0.222;45.51745;3366.216; -33.51127; 1426.773;tg;0.9736063;0.065;0.113;33.81679; 2278.906;-46.26882; 2480.085;0.09;0.5700732;0.14;1.021;17.71275;1217.045;-13.5249;609.0142;0.092;0.5622929;0.138;1.198;20.26152;1400.878;-9.597405;469.0131;134.4228; 0.098;1.29;no;0.44;105.766879147936; 0.021;0.135;0.243;0.031;0.8801878;0.086; 0.144; 0.111;0.161;1.132;0.113;0.159;1.311
A_tigrinum_ind1_pince_seq2_criquet_cropped;T3;2.174295;0.119;85.58417;0.117;0.216;47.39494;3164.595;-61.76267; 2700.742;tg;1.347155;0.075; 0.132;34.24922;2026.169;-24.41384; 2280.056; 0.08; 0.8317274;0.404;1.599; 7.196879;520.6524;-1.776285;74.28442;0.078;0.3616052;0.34;1.601;9.148901;630.0083;-1.977906;106.224;147.9508;0.112;1.679;yes;1.27;119.714309503694;0.015;0.134;0.231;0.019;0.8065873;0.09;0.151;0.095;0.419;1.694;0.093;0.355;1.694
A_tigrinum_ind1_pince_seq4_criquet_cropped;T3; 2.203966;0.102;82.22024;0.098;0.166;50.62238; 39713.66;-51.49483;2655.052;jaws;0.9186842;0.06;0.121; 29.38885; 24748.58; -27.9697; 1924.456;0.06;0.5252888; 0.352;1.722;14.7357;488.3502;-2.491869; 156.9134;0.06; 0.8345838;0.33;1.544; 12.85602;454.5954;-4.598387;282.6474;141.5181;0.1;1.782;yes;0.37;121.544584288697;0; 0.102;0.166;0;1.099296;0.06;0.121;0.06;0.352;1.782;0.06;0.33;1.604
