Name_of_the_video;ind;species;medium;MG;TMG;MGA;DG;MSGO;MAGO;MSGC;MAGC;Mhd1;TMhd1;Dhd1;MSDhd1;MADhd1;MSEhd1;MAEhd1;Mhd2;TMhd2;Dhd2;MSDhd2;MADhd2;MSEhd2;MAEhd2;MHA;TMHA;PCD;tweezer
A_tigrinum_ind1_pince_seq8_criquet_cropped;A_t_ind1;A_tigrinum;terrestrial; 2.076212;0.163;74.403;0.237;73.93129; 15589.9;-65.38211;8068.234; 0.3319924;0.328;0.289; 15.15143; 3899.588;-4.285308;810.1556; 0.2794267;0.167;0.299;25.96043;4618.72; -16.5854;3800.15; 147.6154; 0.163;0.372;yes
A_tigrinum_ind1_pince_seq9_criquet_cropped;A_t_ind1;A_tigrinum;terrestrial; 2.080214;0.19;91.41569;0.362;44.71475;2866.976;-49.54086;3148.076;0.1158412;0.201; 1.289;23.06882;1116.795;-12.48059;1171.89;0.7209044;0.203;1.289;35.63529; 1928.334;-14.21744; 1211.401;155.7469;0.161; 1.439;yes
A_tigrinum_ind1_sans_pince_seq1_criquet_cropped;A_t_ind1;A_tigrinum;terrestrial;1.85598;0.131; 71.27229;0.188;39.01524;5312.586; -50.2415;5481.889; 0.5178697; 0.398;0.367;16.94954;2949.651;-1.233799;234.8821;0.5672709;0.247; 0.37;22.00387; 2706.727;-4.568127;546.5163;152.6709;0.118;0.475;no
A_tigrinum_ind1_sans_pince_seq3_criquet_cropped;A_t_ind1;A_tigrinum;terrestrial;1.657082;0.118;67.94928;0.187; 38.07958;2242.77;-46.23383;1592.844;0.4116284;0.238; 0.197;11.01946;788.6697;-3.020771;239.5812;0.5550775; 0.201;0.232; 7.908792;468.8355; -7.380582;443.105;143.5389; 0.041; 0.309;no
A_tigrinum_ind1_sans_pince_seq4_criquet_cropped;A_t_ind1;A_tigrinum;terrestrial; 1.818023; 0.123; 75.57359; 0.233;38.71534; 2950.362; -32.95141; 1071.593;0.2887323;0.203; 1.077;11.12985; 627.4593; -2.469205; 257.0428;0.6356421;0.163; 1.088;17.29306;765.648;-3.118562;365.8397;140.4104;0.036; 1.176;no
A_tigrinum_ind1_sans_pince_seq5_criquet_cropped;A_t_ind1;A_tigrinum;terrestrial;2.053969;0.148;89.66773;0.23;39.05804;2066.795;-47.20459; 1674.084; 0.4467986; 0.554; 1.449;11.51982; 626.9896; -1.333851; 39.79066; 0.8589394;0.192;1.859;16.56064; 404.6281;-6.94872; 420.9221;150.281;0.152; 1.935;no
A_tigrinum_ind2_pince_seq2_criquet_cropped;A_t_ind2;A_tigrinum;terrestrial; 1.739978;0.128; 71.75243;0.223;55.19092; 5623.568;-46.70991;3154.096; 0.2272687;0.144;0.724;13.97758;1610.174;-6.515071;735.0156; 0.4953859; 0.164; 0.738;25.07448;2194.275;-3.966119;1131.52;150.0357;0.134; 0.826;yes
A_tigrinum_ind2_pince_seq6_criquet_flou_cropped;A_t_ind2;A_tigrinum;terrestrial;1.292776; 0.102;51.32597;0.174;38.68046;4578.143; -30.5188;1449.807;0.4550216; 0.666;1.285; 11.84713;531.7421;-0.9609512;42.32914;0.3292433;0.22;1.385;15.12387; 931.844; -1.39242; 83.2786; 151.9133; 0.062;1.462;yes
A_tigrinum_ind2_pince_seq7_criquet_cropped;A_t_ind2;A_tigrinum;terrestrial;1.583463;0.106;67.85503;0.171;44.55141;3306.809;-45.16669; 2514.569; 0.3797418;0.125;0.95;16.39457;753.0241;-8.048998;560.5927;0.6519995;0.132;1.027; 18.96303;701.1918; -8.63009;695.9568; 151.3212;0.064;1.097;yes
A_tigrinum_ind2_pince_seq8_criquet_cropped;A_t_ind2;A_tigrinum;terrestrial; 1.634841;0.101;69.62218;0.168;43.66596;2791.82;-43.44237;2275.234;0.4209326;0.123;0.912;13.80048;555.5907; -9.794247; 619.8473;0.5490025; 0.13;1.116;19.74765; 663.9334;-9.276624; 571.034; 149.9163;0.06;1.184;yes
A_tigrinum_ind2_pince_seq9_criquet_cropped;A_t_ind2;A_tigrinum;terrestrial;1.557209;0.139;62.60109;0.227; 33.6478; 1930.632; -34.40875;1502.192;0.3598558;0.629;1.424;7.908704;511.3494;-0.6480489;42.38844;0.8707694;0.172;1.289;25.00895;1120.669; -5.382185;399.6167;146.0437;0.13;1.533;yes
A_tigrinum_ind2_pince_seq10_criquet_cropped;A_t_ind2;A_tigrinum;terrestrial; 1.050613;0.057;36.90061;0.24; 40.35293;2924.716;-12.19119;317.7951;0.1860608; 0.299; 1.572;5.07346;345.9924;-0.5947911; 38.4514;0.3647354;0.209; 1.565;9.581996; 627.3209;-0.9286623; 65.79751; 150.8347;0.057;1.653;yes
A_tigrinum_ind2_sans_pince_seq6_criquet_cropped;A_t_ind2;A_tigrinum;terrestrial; 1.595732;0.185;72.70687;0.316;52.73395; 5849.26;-19.16842;729.6582;0.4532733;0.221;0.784;8.493198;767.1661;-4.129834;499.8792;0.2655978;0.219;0.808; 7.949041; 677.6799; -3.244394;304.6747;148.459;0.184;0.897;no
A_tigrinum_ind2_sans_pince_seq8_criquet_cropped;A_t_ind2;A_tigrinum;terrestrial;1.535198;0.126;75.64691;0.194;38.37154; 3214.049; -42.86307;2916.637;0.2890762;0.141; 0.855;13.15036; 940.4987; -8.420923;820.0859;0.7143282; 0.152;1.026;22.04661;1035.889; -10.00839;860.4547;134.8588; 0.111; 1.109;no
A_tigrinum_ind2_sans_pince_seq10_criquet_cropped;A_t_ind2;A_tigrinum;terrestrial;2.229035;0.258;75.39229;0.439; 57.06574;4773.909;-28.82559;1399.295;0.2120348; 0.682; 1.121;13.67407; 872.5809;-1.778367;186.9143;0.8336422;0.277;1.149;29.63497;1622.26; -10.18118; 701.3304;159.4476;0.103; 1.316;no
A_tigrinum_ind2_sans_pince_seq12_criquet_cropped;A_t_ind2;A_tigrinum;terrestrial;1.976231;0.185;72.83688; 0.299;44.56706;2960.715;-38.17129;1432.758; 0.4566345;0.206; 1.374;14.11122;645.7846;-7.312111; 302.8389; 0.8206736; 0.217;1.389;15.03943;408.6653;-7.290068;392.3189; 152.4189;0.143;1.511;no
A_tigrinum_ind3_pince_seq1_criquet_lumiere_bof_cropped;A_t_ind3;A_tigrinum;terrestrial;1.811979;0.078; 64.42861;0.137;73.15777;9556.033; -60.15406;5240.532;0.2299955;0.41;0.588;7.091436;1498.314;-1.959746;316.5356;0.2274249;0.203; 0.588; 10.31326;2012.092;-3.649798;519.0352;152.3376;0.079;0.644;yes
A_tigrinum_ind3_pince_seq2_criquet_cropped;A_t_ind3;A_tigrinum;terrestrial;1.934302;0.116;73.73762;0.245;59.47937;4766.01;-50.86705;2644.61; 0.5177399; 0.138;1.292; 9.59975;466.3614; -7.15499;763.0572;0.8445017; 0.154;1.292; 15.42336; 525.7028;-6.387972; 477.2081;150.8511;0.11; 1.371;yes
A_tigrinum_ind3_pince_seq3_criquet_cropped;A_t_ind3;A_tigrinum;terrestrial; 1.306197;0.083;52.54146; 0.164;33.47277; 1630.23;-25.41586; 961.8409;0.3728184;0.111;0.355; 8.614669;422.7139;-5.086162;256.0083; 0.4869028;0.117;2.356;11.32826;430.0047;-5.249998; 271.1215;127.5299;0.061;2.42;yes
A_tigrinum_ind3_pince_seq4_criquet_cropped;A_t_ind3;A_tigrinum;terrestrial; 1.602802;0.075; 67.65649; 0.158; 39.24643;33680.7; -33.06915;1031.223;0.1837518;0.787;2.778;9.191264;460.9808;-0.2404898;15.33797;0.499269;0.129;2.795;10.00261;332.554; -3.089822;70.25815;145.301;0.078; 2.842;yes
A_tigrinum_ind3_pince_seq6_criquet_cropped;A_t_ind3;A_tigrinum;terrestrial;1.625548;0.122;65.03479; 0.194;35.35039;1455.597;-40.32035;1789.059;0.4032297;0.502;0.515; 5.905217; 296.2287; -0.7791096; 52.8267; 0.5352665;0.184; 0.652;11.09827;305.8782;-1.836052;101.9435; 152.9198;0.114;0.744;yes
A_tigrinum_ind3_pince_seq7_criquet_cropped;A_t_ind3;A_tigrinum;terrestrial; 1.895858; 0.117; 84.89266;0.178; 52.96508;16093.53;-61.9548;4273.579;0.5000124;0.144; 0.768;16.76722;1063.889;-23.56317;2363.066;0.7183221; 0.141;0.785;34.98136;2072.092;-21.01684;1842.276;148.5841;0.106;0.85;yes
A_tigrinum_ind3_pince_seq8_criquet_cropped;A_t_ind3;A_tigrinum;terrestrial; 1.715525;0.103;68.03504; 0.17; 35.63502;15329.2;-40.65604;1683.931;0.1601356; 0.473;2.293;7.054535; 447.3329;-1.229395;66.65944; 0.5369818;0.178;2.307;14.94189; 546.4525;-3.32451;72.77843;151.6643;0.094; 2.373;yes
A_tigrinum_ind3_pince_seq9_criquet_cropped;A_t_ind3;A_tigrinum;terrestrial; 2.064834; 0.13;88.02878;0.32; 39.5504; 15012.56;-38.99409;1264.088;0.5067561;0.154; 2.329;12.79129; 259.9463; -8.115584; 270.1804;0.8279352;0.162;2.276; 23.0571; 782.2821;-4.749101;158.4712;149.2778;0.115;2.41;yes
A_tigrinum_ind3_pince_seq10_criquet_cropped;A_t_ind3;A_tigrinum;terrestrial;1.783799; 0.125; 76.04135;0.204;53.76327;3564.126;-43.39985;2030.118;0.5191405; 0.227;1.503;14.59739;1030.96;-3.336934; 179.3258;0.6853832; 0.165;1.503;16.42785;647.9566;-4.676122;322.7509; 150.4657;0.116;1.577;yes
A_tigrinum_ind3_sans_pince_seq1_criquet_cropped;A_t_ind3;A_tigrinum;terrestrial;1.643052; 0.107;66.98148;0.183;55.10715; 4029.438;-54.49866;3268.59;0.5531523;0.116;0.775; 18.17922;939.5167; -12.08583;1100.551;0.5373711;0.125; 1.037;19.78247;1141.671;-10.8801;492.1532; 141.9675;0.091;1.105;no
A_tigrinum_ind3_sans_pince_seq2_criquet_cropped;A_t_ind3;A_tigrinum;terrestrial;1.618793;0.107;76.86992;0.168; 49.7837; 3718.627;-49.66977;2847.687;0.4847199;0.115;1.011;21.14045;1138.2;-13.01962; 1225.993;0.6233396;0.125;1.017;21.16703;1009.225;-14.26844; 1177.046;142.5691;0.089; 1.082;no
A_tigrinum_ind3_sans_pince_seq3_criquet_cropped;A_t_ind3;A_tigrinum;terrestrial; 1.5293;0.103;67.85442;0.232;49.83746; 6713.574; -23.91205; 907.8023;0.5847941;0.13;1.021;16.40283;818.804; -2.097883; 155.6551;0.3091743;0.125;1.368;12.08799;491.3368; -4.564646;590.9789;134.4618;0.081;1.428;no
A_tigrinum_ind3_sans_pince_seq4_criquet_cropped;A_t_ind3;A_tigrinum;terrestrial;1.901014; 0.122;70.93832;0.176;60.21369;6308.803; -61.89979;4843.435;0.6317847; 0.127;0.6;29.82951;3031.687;-13.80573;1303.984; 0.8422341; 0.132; 0.608;38.1658; 3261.184;-14.54113;855.7591;142.1913;0.098;0.678;no
